,character_name,character_url,lotr_name,titles,birth,death,race,hair,culture,actor,other names,realms,weapon,rule,spouse,voice,height,children,eyes,gender,parentage,siblings,age,name,lifespan,languages,distinctions,members,purpose,formed,dissolved,also known as,dominions,skin color,realm,title,founder(s),type,revenue,employees
10,Aragorn_II_Elessar,b'https://lotr.fandom.com/wiki/Aragorn_II_Elessar',Aragorn II Elessar,"chieftain of the dúnedain, heir of isildurhigh king of the dúnedain, king of arnor, king of gondor","march 1, ta 2931",fo 120 (aged 210),men,"dark, flecked with grey","dúnedain of the north (house of isildur, founded the house of telcontar)",viggo mortensen (lotr trilogy),"arakorno (q.), estel, thorongil, elessar (edhelharn), telcontar, envinyatar, strider, the dúnadan, wingfoot",reunited kingdom (arnor and gondor),"andúril (sword), bow, spear",ta 2933 – 3019 (86 years as a chieftain)ta 3019 – fo 120 (122 years as a king),arwen undómiel,john hurt (1978 film),tall,eldarion & several daughters,grey,,,,,,,,,,,,,,,,,,,,,
11,Saruman,b'https://lotr.fandom.com/wiki/Saruman',Saruman,"lord of isengard,head of the white council,the white wizard,""the boss"" (to the ruffians in the battle of bywater)",before the creation of arda,"november 3, 3019 (immortal – physical death only)",ainur,white,maiar of aulë (wizards),sir christopher lee,"saruman the white,sharkey, saruman of many colours,the white wizard,curunir, curumo,saruman the wise (by gandalf)",,"wizard staff, dagger, dark sorcery",,,,,,black,male,,,,,,,,,,,,,,,,,,,,
12,Elrond,b'https://lotr.fandom.com/wiki/Elrond',Elrond,lord of rivendellring-bearer of vilyavice-regent and herald to gil-galad,fa 532[1],"departed to aman on september 29, 3021[2]",half-elven,dark[3],,hugo weaving,"elrond peredhel (sindarin, ""half-elven"")master elrond","lindon, rivendell",,sa 1697 - ta 3021,celebrían,"cyril ritchard (the hobbit), andre morell (lotr), paul frees (return of the king)",,elladanelrohirarwen,grey[3],,"eärendil, fatherelwing, mothermaglor, foster father",elros (twin),,,,,,,,,,,,,,,,,,
13,Galadriel,b'https://lotr.fandom.com/wiki/Galadriel',Galadriel,"princess of the ñoldorlady of lórien, lady of the galadhrim",yt 1362,"september 29, ta 3021 (sailed west; aged 8,374)",elves,platinum,ñoldor (house of finarfin)falmari (house of olwë),cate blanchett (lotr trilogy),"alatáriel, artanis, nerwen","valinor, doriath, lindon, eregion, lothlórien","nenya (ring), elf-magic",ta 1981 – 3021 (as a lady; 1040 years),celeborn,annette crosbie (1978 film),"6'4"" (193 cm)[1]",celebrían,grey,,finarfin & eärwen,"finrod, angrod, aegnor",,,,,,,,,,,,,,,,,,
14,Indis,b'https://lotr.fandom.com/wiki/Indis',Indis,queen of the ñoldor,unknown; before yt 1185,unknown,elves,golden[1],vanyar (house of finwë),,indis the fairindis of the vanyar,tirion,,,finwë,,tall[1],,,,,,,,,,,,,,,,,,,,,,,
15,Eldarion,b'https://lotr.fandom.com/wiki/Eldarion',Eldarion,king of the reunited kingdom,early fourth age,fo 220,half-elven,dark,dúnedain (house of telcontar),sadwyn brophy (in the return of the king),,reunited kingdom,,fo 120 - fo 220,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Elwing,b'https://lotr.fandom.com/wiki/Elwing',Elwing,princess of doriath,fa 503,,half-elven (chose to be immortal),dark,sindar of doriath (house of thingol),,the white,"doriath, havens of sirion",elf-magic,,eärendil,,tall,,possibly grey,,,,,,,,,,,,,,,,,,,,,
17,%C3%89owyn,b'https://lotr.fandom.com/wiki/%C3%89owyn',Éowyn,"white lady of rohan,[2]shieldmaiden of rohan,lady of the shield-arm,[3]lady of ithilien,lady of emyn arnen",ta 2995[4],early fourth age,men,pale gold[3],rohirrim (house of eorl),miranda otto,dernhelm[1],,sword,,faramir,nellie bellflower,tall,,grey[3],,,,,,,,,,,,,,,,,,,,,
18,Th%C3%A9oden,b'https://lotr.fandom.com/wiki/Th%C3%A9oden',Théoden,"king of rohan, lord of the mark","ta 2948, gondor[2]","march 15, 3019[4]",men,"white with braids (book),[3] blonde (films)",rohirrim (house of eorl),bernard hill,"horsemaster,[1]father of horse-men,théoden ednew[2]",,herugrim,ta 2980 - ta 3019,,,tall,théodred,blue[3],male,thengel (father),théodwyn,71,,,,,,,,,,,,,,,,,
19,Meriadoc_Brandybuck,b'https://lotr.fandom.com/wiki/Meriadoc_Brandybuck',Meriadoc Brandybuck,master of bucklandesquire of rohan,ta 2982 (sr 1382),after fo 63 (sr 1483),hobbit,,"shire-hobbits, bucklanders",dominic monaghan,merryholdwinekalimac brandagamba,,"barrow-blade, noldorin dagger (film)",,estella (bolger) brandybuck,michael collinspat franklynrichard o'callaghansimon chandlercasey kasem,"1.38m (4'6"")",,,,,,,,,,,,,,,,,,,,,,,
20,Isildur,b'https://lotr.fandom.com/wiki/Isildur',Isildur,king of gondor,sa 3209,ta 2,men,,,harry sinclair,,,,sa 3441 - ta 2,,,,,,,elendil,anárion,234,,,,,,,,,,,,,,,,,
21,Gil-galad,b'https://lotr.fandom.com/wiki/Gil-galad',Gil-galad,high king of the ñoldorking of the high elves[1],fa 450,sa 3441,elves,possibly golden,"ñoldor (house of fingolfin) (the silmarillion)ñoldor (house of finarfin), falmari (house of olwë) (later notes)",mark ferguson,"artanáro, rodnor,ereinion gil-galad",havens of sirionlindon,aeglos,fa 510 - sa 3441,,,tall,,,,fingon (the silmarillion)orodreth (later notes),,3581,,,,,,,,,,,,,,,,,
22,Legolas,b'https://lotr.fandom.com/wiki/Legolas',Legolas Greenleaf,prince of the woodland realm,~ ta 185 (most likely),departed to aman in fo 120 from ithilien,elves,,sindar (elves of mirkwood),orlando bloom,greenleaf [1],woodland realmithilien,"bow and ""long white knife""",,,,,,,,thranduil,,,,,,,,,,,,,,,,,,,
23,Maia_(Born_of_Hope),b'https://lotr.fandom.com/wiki/Maia_(Born_of_Hope)',Maia,,,,men,,dúnedain of the north,"amylea meiklejohn (younger), phoebe chambers (older)",,,,,,,,,,female,,,,maia,ta 2924 - ?,,,,,,,,,,,,,,,
24,Celeborn,b'https://lotr.fandom.com/wiki/Celeborn',Celeborn,"lord of lothlórien, lord of the galadhrim, lord of the golden wood, lord of east lórien, prince of doriath",uncertain; possibly years of the trees,sailed to valinor in the early fourth age,elves,"silver, long[3]",sindar (elves of doriath),marton csokas,teleporno[1][2],doriathlindoneregionlothlórien,,,galadriel,,6 feet 4 inches (193cm)[note 1],"celebrían, (amroth[1], earlier version)",,male,galadhon,galathil,,,,,,,,,,,,,,,,,,
25,Thranduil,b'https://lotr.fandom.com/wiki/Thranduil',Thranduil,king of the woodland realm,before fa 506,unknown,elves,golden[1],sindar (elves of mirkwood),lee pace,elvenking,woodland realm,sword,from sa 3434,,,,,,,oropher,,,,,,,,,,,,,,,,,,,
26,Gimli,b'https://lotr.fandom.com/wiki/Gimli',Gimli,lord of the glittering caves,ta 2879,departed to aman in fo 120 from ithilien,dwarves,,durin's folk,john rhys-davies,elf-friend,"thorin's halls, erebor,glittering caves",broad-bladed axe,early fourth age - fo 120,,,,,dark,,,,262,,,,,,,,,,,,,,,,,
27,Aragorn_I,b'https://lotr.fandom.com/wiki/Aragorn_I',Aragorn I,chieftain of the dúnedain,ta 2227[1],ta 2327[2],men,,"dúnedain of the north (house of isildur), rangers of the north",,,,"shards of narsil, chieftain’s sword",,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
28,Arien,b'https://lotr.fandom.com/wiki/Arien',Arien,lady of fire,before the creation of arda,immortal,ainur,,maiar of vána,,"spirit of fire, urien, urwendi",,powers of the maiar,,none,,,,,female,,,,,,,,,,,,,,,,,,,,
29,Radagast,b'https://lotr.fandom.com/wiki/Radagast',Radagast the Brown,the brown wizard,before the creation of arda,immortal,ainur (maiar),,istari (wizards)maiar of yavanna,sylvester mccoy (the hobbit trilogy),"aiwendil,bird friend,tender of beasts,""the bird-tamer"",""the simple"",""the fool""",,wizard staff,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Peregrin_Took,b'https://lotr.fandom.com/wiki/Peregrin_Took',Peregrin Took,thain of the shireguard of the citadelknight of gondor,ta 2990 (sr 1390)[1],sometime after fo 63 (sr 1483),hobbits,almost golden[2],shire-hobbits (took family),billy boyd,pippinernil i pheriannaththain peregrin irazanur tûk,,barrow-blade,fo 13 - fo 63,diamond of long cleeve,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gollum,b'https://lotr.fandom.com/wiki/Gollum',Gollum / Sméagol,ring-bearer,ta 2430,"march 25, 3019",hobbits,gray,stoor-hobbits,andy serkis,"trahald, slinker, stinker, shelob's sneak",,,,,brother theodorepeter woodthorpeandy serkis (peter jackson's films)liam o'brien (shadow of mordor),1.4 meters,,blue-gray,male,,,589,,,,,,,,,,,,,,,,,
32,Uruk-hai,b'https://lotr.fandom.com/wiki/Uruk-hai',Uruk-hai,,,,,,,,,,,,,,,,,,,,,,,"black speech, westron, orkish","thick legs, bowed backs, slanted eyes",,,,,,,,,,,,,
33,Faramir,b'https://lotr.fandom.com/wiki/Faramir',Faramir,"captain of the rangers of ithilien, captain of the white tower, steward to the king of gondor, lord of emyn arnen, prince of ithilien",ta 2983[1],"february 26, fo 82[2] (aged 120)",men,"""raven"" (books)[5]",men of gondor (house of húrin),david wenham,,"gondor, ithilien and emyn arnen (after the war of the ring)","sword,[3] nail-knife[4]",ta 3019 - fo 82 (84 years),éowyn,,tall,elboron,grey (books)[6],,denethor ii and finduilas of dol amroth,boromir,120,,,,,,,,,,,,,,,,,
34,E%C3%A4rendil,b'https://lotr.fandom.com/wiki/E%C3%A4rendil',Eärendil,lord of arvernien,fa 503[2],immortal,half-elven,golden,"gondolindrim,elves of the havens of sirion",,"eärendel[1], azrubêl, ""bright"", eärendil the mariner,star of high hope,the blessed",,sword,,elwing,,,,blue[3],male,,,,,,,,,,,,,,,,,,,,
35,Tom_Bombadil,b'https://lotr.fandom.com/wiki/Tom_Bombadil',Tom Bombadil,the first,"unknown, before the coming of melkor",,unknown,brown,,,"iarwain ben-adar, orald, forn, ""moss gatherer""",old forest,,,goldberry,,,,blue,,,,,,,,,,,,,,,,,,,,,
36,Yavanna,b'https://lotr.fandom.com/wiki/Yavanna',Yavanna,fruit-giverqueen of the earthgiver of fruitsqueen of the valar,before the creation of arda,immortal,ainur (valar),,valier (aratar),,kementáripalúrien,pastures of yavanna,,,aulë,,,,,,,,,,,,,,,,,,,,,,,,,
37,Varda,b'https://lotr.fandom.com/wiki/Varda',Varda Elentari,"queen of arda,queen of the stars,queen of the valar",before the creation of eä,immortal,ainur,,"valar (aratar) (leader, queen)",,"elbereth, star-kindler, lady of the stars, tintallë,gilthoniel, elentári, fanuilos, snow-white, the kindler",arda,powers of the valar,,manwë,,,,,,,,,,,,,,,,,,,,,,,,,
38,Beren,b'https://lotr.fandom.com/wiki/Beren',Beren,chieftain of the house of bëorlord of ladros,fa 432[1][2],fa 466 (resurrected in fa 469)fa 503[3] (aged 68),men,golden-brown[5],edain (house of bëor),,"erchamion, camlost","dorthonion, tol galen","dagmor (sword), angrist (knife), bow[4]",fa 460 – 469 (9 years),lúthien tinúviel,,tall,dior eluchil,grey[5],,barahir & emeldir,,,,,,,,,,,,,,,,,,,
39,Treebeard,b'https://lotr.fandom.com/wiki/Treebeard',Treebeard,oldest of the ents ? shepherd of the trees,yt ?,unknown,"ents, onodrim","leaf-, twig- and moss-like",,cgi and full-sizepractical animatronic,fangorn,,,,fimbrethil,john rhys-davies,around 14 feet,,"deep brown, shot with green light",,,,,,,,,,,,,,,,,,,,,
40,Gilraen,b'https://lotr.fandom.com/wiki/Gilraen',Gilraen,,ta 2907[1],ta 3007[2],men,,"dúnedain of the north (house of isildur ), rangers of the north",,gilraen the fair,,,,arathorn ii,,,aragorn,,,,,,,,,,,,,,,,,,,,,,
41,Arador,b'https://lotr.fandom.com/wiki/Arador',Arador,chieftain of the dúnedain,ta 2820[1],ta 2930[2],men,"dark, then grey (film)","dúnedain of the north, (house of isildur), rangers of the north",,,,"shards of narsil, chieftain's sword",,unnamed wife,,,arathorn ii,hazel (film),male,,,,,,,,,,,,,,,,,,,,
42,Ingw%C3%AB,b'https://lotr.fandom.com/wiki/Ingw%C3%AB',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Shelob,b'https://lotr.fandom.com/wiki/Shelob',Shelob,,,"unknown, possibly ta 3019",spiders,,descendant of ungoliant[2],pollyanna mcintosh (middle-earth: shadow of war),her ladyship[1],torech ungol,,,,,,,black,female,,,,,,,,,,,,,,,,,,,,
44,Goldberry,b'https://lotr.fandom.com/wiki/Goldberry',Goldberry,,unknown,"unknown, possibly immortal","unknown, possibly river-spirit",golden,,,the river-daughter,,,,tom bombadil,,,,,,,,,,,,,,,,,,,,,,,,,
45,Meneldil,b'https://lotr.fandom.com/wiki/Meneldil',Meneldil,king of gondor,sa 3318[1],ta 158[2],men,,dúnedainmen of gondor (house of anárion),,,gondor,king's sword,,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cemendur,b'https://lotr.fandom.com/wiki/Cemendur',Cemendur,king of gondor,sa 3399[1],ta 238[2],men,,dúnedainmen of gondor (house of anárion),,,,,ta 158,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
47,E%C3%A4rendil_of_Gondor,b'https://lotr.fandom.com/wiki/E%C3%A4rendil_of_Gondor',Eärendil,king of gondor,ta 48[1],ta 324[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 238 - ta 324,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
48,Anardil,b'https://lotr.fandom.com/wiki/Anardil',Anardil,king of gondor,ta 136[1],ta 411[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 324 - ta 411,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
49,Ostoher,b'https://lotr.fandom.com/wiki/Ostoher',Ostoher,king of gondor,ta 222[1],ta 492[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 411 - ta 492,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
50,R%C3%B3mendacil_I,b'https://lotr.fandom.com/wiki/R%C3%B3mendacil_I',Rómendacil I,king of gondor,ta 310[1],ta 541[2],men,,dúnedain (house of anárion)men of gondor,,tarostar,gondor,king's sword,ta 492,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
51,Turambar,b'https://lotr.fandom.com/wiki/Turambar',Turambar,king of gondor,ta 397[1],ta 667[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,,ta 541,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
52,Atanatar_I,b'https://lotr.fandom.com/wiki/Atanatar_I',Atanatar I,king of gondor,ta 480[1],ta 748[2],men,,"dúnedain, men of gondor (house of anárion)",,,gondor,,ta 667,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
53,Witch-king_of_Angmar,b'https://lotr.fandom.com/wiki/Witch-king_of_Angmar',Witch-king of Angmar,"lord of the nazgûl, the black captain, lord of minas morgul",second age,"march 15, 3019",man (wraith),gleaming,possibly númenórean[1] (formerly)ringwraith (later),"the lord of the rings films:brent mcintyre (the fellowship of the ring), lawrence makoare (the return of the king), ben price",,"angmar, minas morgul","morgul-knife, black breath, sorcery, a great mace",,,"john stephenson (the return of the king), andy serkis (the fellowship of the ring)",tallest of the nazgûl,,,,,,more than three millennia,,,,,,,,,,,,,,,,,
54,F%C3%ABanor,b'https://lotr.fandom.com/wiki/F%C3%ABanor',Fëanor,high king of the ñoldor,yt 1169[1],yt 1497,elves,raven-dark,ñoldor (house of finwë),,curufinwëfëanáro,"tirion, formenos",elven sword,yt 1495,nerdanel,,tall,,,,,,,,,,,,,,,,,,,,,,,
55,Siriondil,b'https://lotr.fandom.com/wiki/Siriondil',Siriondil,king of gondor,ta 570[1],ta 830[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 748,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
56,Tarannon_Falastur,b'https://lotr.fandom.com/wiki/Tarannon_Falastur',Tarannon Falastur,king of gondor,ta 654[1],ta 913[2],men,,"dúnedain,men of gondor (house of anárion)",,falastur,gondor,king's sword,ta 830,berúthiel,,,,,male,,,,,,,,,,,,,,,,,,,,
57,E%C3%A4rnil_I,b'https://lotr.fandom.com/wiki/E%C3%A4rnil_I',Eärnil I,king of gondor,ta 736[1],ta 936[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 913 - ta 936,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
58,Ciryandil,b'https://lotr.fandom.com/wiki/Ciryandil',Ciryandil,king of gondor,ta 820[1],ta 1015[2],men,,dúnedain (house of anárion)men of gondor,,,gondor,king's sword,ta 936 - ta 1015[2],unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
59,Atanatar_II,b'https://lotr.fandom.com/wiki/Atanatar_II',Atanatar II,king of gondor,ta 977[1],ta 1226[2],men,,"dúnedain, men of gondor (house of anárion)",,atanatar ii alcarin,gondor,king's sword,ta 1149,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
60,Narmacil_I,b'https://lotr.fandom.com/wiki/Narmacil_I',Narmacil I,king of gondor,ta 1049[1],ta 1294[2],men,,"dúnedain (house of anárion), men of gondor",,,gondor,king's sword,ta 1226,"unknown, possibly none as he had no children",,,,,male,,,,,,,,,,,,,,,,,,,,
61,Mardil_Voronw%C3%AB,b'https://lotr.fandom.com/wiki/Mardil_Voronw%C3%AB',Mardil Voronwë,steward to the king of gondorruling steward of gondor,ta 1960[1],ta 2080[2],men,,men of gondor (house of húrin),,the steadfast,,,ta 2050,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
62,Eradan,b'https://lotr.fandom.com/wiki/Eradan',Eradan,ruling steward of gondor,ta 1999[1],ta 2116[2],men,,men of gondor (house of húrin),,,,,ta 2080,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
63,Belegorn,b'https://lotr.fandom.com/wiki/Belegorn',Belegorn,ruling steward of gondor,ta 2074[1],ta 2204[2],men,,men of gondor (house of húrin),,,,,ta 2148,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
64,H%C3%BArin_I,b'https://lotr.fandom.com/wiki/H%C3%BArin_I',Húrin I,ruling steward of gondor,ta 2124[1],ta 2244[2],men,,men of gondor (house of húrin),,,,,ta 2204,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
65,Hador_(Steward),b'https://lotr.fandom.com/wiki/Hador_(Steward)',Hador,ruling steward of gondor,ta 2245[1],ta 2395[2],men,,men of gondor (house of húrin),,,,,ta 2278,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
66,Cirion,b'https://lotr.fandom.com/wiki/Cirion',Cirion,ruling steward of gondor,ta 2449[1],ta 2567[2],men,,men of gondor (house of húrin),,,,,ta 2489,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
67,Hallas_(Steward),b'https://lotr.fandom.com/wiki/Hallas_(Steward)',Hallas,ruling steward of gondor,ta 2480[1],ta 2605[2],men,,men of gondor (house of húrin),,,,,ta 2567,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
68,H%C3%BArin_II,b'https://lotr.fandom.com/wiki/H%C3%BArin_II',Húrin II,ruling steward of gondor,ta 2515[1],ta 2628[1],men,,men of gondor (house of húrin),,,,,ta 2605,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
69,Belecthor_I,b'https://lotr.fandom.com/wiki/Belecthor_I',Belecthor I,ruling steward of gondor,ta 2545[1],ta 2655[2],men,,men of gondor (house of húrin),,,,,ta 2628,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
70,Ecthelion_I,b'https://lotr.fandom.com/wiki/Ecthelion_I',Ecthelion I,ruling steward of gondor,ta 2600[1],ta 2698[2],men,,men of gondor (house of húrin),,,,,ta 2685,possibly none,,,,,male,,,,,,,,,,,,,,,,,,,,
71,Egalmoth,b'https://lotr.fandom.com/wiki/Egalmoth',Egalmoth,ruling steward of gondor,ta 2626[1],ta 2743[2],men,,men of gondor  (house of húrin),,,,,ta 2698,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
72,Beren_(Steward),b'https://lotr.fandom.com/wiki/Beren_(Steward)',Beren,ruling steward of gondor,ta 2655[1],ta 2763 (aged 108)[2],men,,men of gondor (house of húrin),,,,,ta 2743,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
73,Beregond,b'https://lotr.fandom.com/wiki/Beregond',Beregond,ruling steward of gondor,ta 2700[1],ta 2811[2],men,,men of gondor (house of húrin),,,,,ta 2763,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
74,Belecthor_II,b'https://lotr.fandom.com/wiki/Belecthor_II',Belecthor II,ruling steward of gondor,ta 2752[1],ta 2872[2],men,,men of gondor (house of húrin),,,,,ta 2811,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
75,Thorondir,b'https://lotr.fandom.com/wiki/Thorondir',Thorondir,ruling steward of gondor,ta 2782[1],ta 2882[2],men,,men of gondor (house of húrin),,,,,ta 2872,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
76,T%C3%BArin_II,b'https://lotr.fandom.com/wiki/T%C3%BArin_II',Túrin II,ruling steward of gondor,ta 2815[1],ta 2914 (aged 99)[2],men,,men of gondor (house of húrin),,,,,ta 2882,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
77,Turgon_(Steward),b'https://lotr.fandom.com/wiki/Turgon_(Steward)',Turgon,ruling steward of gondor,ta 2855[1],ta 2953 (aged 98)[2],men,,men of gondor (house of húrin),,,,,ta 2914,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
78,Ecthelion_II,b'https://lotr.fandom.com/wiki/Ecthelion_II',Ecthelion II,ruling steward of gondor,ta 2886[1],ta 2984 (aged 98)[2],men,,men of gondor (house of húrin),,,,,ta 2953,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
79,Denethor_II,b'https://lotr.fandom.com/wiki/Denethor_II',Denethor II,"ruling steward of gondor,lord of gondor,lord of minas tirith",ta 2930[1],"march 15, 3019[2]",men,"dark, grey (in old age)",men of gondor (house of húrin),john noble,,gondor,sword and knife[3],ta 2984 - ta 3019,finduilas,william conrad (1980),,boromir and faramir,,,,,89 (at death),,,,,,,,,,,,,,,,,
80,Minardil,b'https://lotr.fandom.com/wiki/Minardil',Minardil,king of gondor,ta 1454[1],ta 1634[2],men,,men of gondor (house of anárion),,,gondor,king's sword,ta 1621,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
81,Castamir_the_Usurper,b'https://lotr.fandom.com/wiki/Castamir_the_Usurper',Castamir,king of gondor (title usurped),ta 1259[1],ta 1447[2],men,,"dúnedain (house of anárion), men of gondor",,"the usurper,lord of ships",gondor,king's sword,ta 1437,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
82,Aldamir,b'https://lotr.fandom.com/wiki/Aldamir',Aldamir,king of gondor,ta 1330[1],ta 1540[2],men,,"dúnedain, men of gondor (house of anárion)",,,,,ta 1490,unnamed wife,,,,,,,,,,,,,,,,,,,,,,,,,
83,Hyarmendacil_II,b'https://lotr.fandom.com/wiki/Hyarmendacil_II',Hyarmendacil II,king of gondor,ta 1391[1],ta 1621[2],men,,"dúnedain,men of gondor (house of anárion)",,vinyarion,gondor,king's sword,ta 1540 - ta 1621,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
84,Telemnar,b'https://lotr.fandom.com/wiki/Telemnar',Telemnar,king of gondor,ta 1516[1],ta 1636[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 1634 - ta 1636,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
85,Tarondor,b'https://lotr.fandom.com/wiki/Tarondor',Tarondor,king of gondor,ta 1577[1],ta 1798[2],men,,"dúnedain,men of gondor (house of anárion)",,,gondor,king's sword,ta 1636,unnamed wife,,,,,male,,,,,,,,,,,,,,,,,,,,
